VoL,ESW,Slope,Aniso,vol_n,esw_n,slope_n,aniso_n,path,score,label
64.44893859346843,13.0,-0.005124714691191912,0.008196704089641571,0.9737292025578078,1.0,0.0,0.9316941382784754,C:/Users/SSAFY/Desktop/Athens/photos\84-IMG_0167.jpg,0.7366,defocus
68.73721571589236,11.0,-0.010632013902068138,0.011888179928064346,0.9659323350626333,1.0,0.0,0.9009318421884769,C:/Users/SSAFY/Desktop/Athens/photos\86-P1069971.jpg,0.7316,defocus
35.164154984341806,6.0,-0.00733823562040925,0.023847505450248718,1.0,0.9999999980000001,0.0,0.8012708044753603,C:/Users/SSAFY/Desktop/Athens/photos\99-P1030170-Enhanced-NR.jpg,0.7301,defocus
116.64293121451529,10.0,-0.012880711816251278,0.01668989099562168,0.8788310341576299,1.0,0.0,0.8609175866266872,C:/Users/SSAFY/Desktop/Athens/photos\88-IMG_0059.jpg,0.7058,defocus
118.09814210474887,8.0,-0.008741208352148533,0.023400181904435158,0.876185196175435,1.0,0.0,0.804998500379832,C:/Users/SSAFY/Desktop/Athens/photos\74-P1070159.jpg,0.6995,defocus
123.63948412055544,8.0,-0.014498593285679817,0.02237008512020111,0.8661100288741518,1.0,0.0,0.8135826395331041,C:/Users/SSAFY/Desktop/Athens/photos\89-P1069668.jpg,0.6979,defocus
179.77543349375514,7.0,-0.012946478091180325,0.021764548495411873,0.7640446663792808,1.0,0.0,0.818628777652503,C:/Users/SSAFY/Desktop/Athens/photos\46-P1070784.jpg,0.6729,defocus
215.52236428575466,8.0,-0.011602573096752167,0.009488151408731937,0.6990502467586451,1.0,0.0,0.920932078182894,C:/Users/SSAFY/Desktop/Athens/photos\34-P1070821.jpg,0.6669,defocus
225.9733421537382,7.0,-0.01092325896024704,0.005272283684462309,0.6800484688172024,1.0,0.0,0.9560643062907885,C:/Users/SSAFY/Desktop/Athens/photos\51-P1070772.jpg,0.6656,defocus
220.51115528382434,8.0,-0.011277878656983376,0.009492511861026287,0.6899797176714106,1.0,0.0,0.9208957410834692,C:/Users/SSAFY/Desktop/Athens/photos\35-P1070820.jpg,0.6646,defocus
198.43476552767282,9.0,-0.008390167728066444,0.02237008512020111,0.7301186081364108,1.0,0.0,0.8135826395331041,C:/Users/SSAFY/Desktop/Athens/photos\75-IMG_0276.jpg,0.6639,defocus
276.99432648028846,8.0,-0.01048261672258377,0.006653576623648405,0.5872830427706158,1.0,0.0,0.9445535327568022,C:/Users/SSAFY/Desktop/Athens/photos\52-P1070770.jpg,0.6413,defocus
271.22796320596564,9.0,-0.013085349462926388,0.01019133348017931,0.5977673396328304,1.0,0.0,0.9150722280758201,C:/Users/SSAFY/Desktop/Athens/photos\38-P1070806.jpg,0.6409,defocus
215.93990833341053,9.0,-0.009044474922120571,0.04170709848403931,0.698291075762921,1.0,0.0,0.6524408749295996,C:/Users/SSAFY/Desktop/Athens/photos\41-P1070799.jpg,0.6398,defocus
234.8538621223679,8.0,-0.01184012833982706,0.03430523723363876,0.663902068874533,1.0,0.0,0.7141230468760897,C:/Users/SSAFY/Desktop/Athens/photos\101-P1028730-Enhanced-NR.jpg,0.6374,defocus
276.08263204223505,8.0,-0.011591245420277119,0.013117998838424683,0.5889406690215919,1.0,0.0,0.8906833521228483,C:/Users/SSAFY/Desktop/Athens/photos\37-P1070809.jpg,0.6363,defocus
289.62876435983384,8.0,-0.010151256807148457,0.00941939651966095,0.5643113375354964,1.0,0.0,0.9215050355440725,C:/Users/SSAFY/Desktop/Athens/photos\45-P1070785.jpg,0.6332,defocus
255.38424227218863,6.0,-0.006396241020411253,0.028812380507588387,0.6265741049664466,0.9999999980000001,0.0,0.759896849112026,C:/Users/SSAFY/Desktop/Athens/photos\103-IMG_8639-Edit.jpg,0.6326,defocus
253.62434714619067,9.0,-0.008171156980097294,0.03410312533378601,0.6297739142863847,1.0,0.0,0.7158073125678406,C:/Users/SSAFY/Desktop/Athens/photos\78-IMG_0260.jpg,0.629,defocus
306.8124428592938,8.0,-0.013089388608932495,0.012080717831850052,0.5330682857188646,1.0,0.0,0.8993273597906363,C:/Users/SSAFY/Desktop/Athens/photos\39-P1070805.jpg,0.6232,defocus
274.27584525330116,8.0,-0.008783884346485138,0.030320050194859505,0.5922257359105029,1.0,0.0,0.7473329360984261,C:/Users/SSAFY/Desktop/Athens/photos\76-P1070156.jpg,0.6228,defocus
226.5830346302485,7.0,-0.008375783450901508,0.05843451991677284,0.6789399370417493,1.0,0.0,0.5130457079397506,C:/Users/SSAFY/Desktop/Athens/photos\71-IMG_0314.jpg,0.621,defocus
342.47279895447616,8.0,-0.009850536473095417,0.012004848569631577,0.4682312746378937,1.0,0.0,0.8999596035897699,C:/Users/SSAFY/Desktop/Athens/photos\7-P1070911.jpg,0.6071,defocus
291.3494213456979,7.0,-0.008538794703781605,0.043171580880880356,0.5611828702885278,1.0,0.0,0.6402368559729257,C:/Users/SSAFY/Desktop/Athens/photos\72-P1070170.jpg,0.6043,defocus
344.19957613561326,7.0,-0.012721852399408817,0.020945044234395027,0.465091679763156,1.0,0.0,0.8254579792585431,C:/Users/SSAFY/Desktop/Athens/photos\92-IMG_1088.jpg,0.5988,defocus
382.70808675725027,8.0,-0.011408878490328789,0.004251257982105017,0.3950762059069072,1.0,0.0,0.9645728531013871,C:/Users/SSAFY/Desktop/Athens/photos\40-P1070804.jpg,0.5952,defocus
